unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1625001120000,2021-06-29T21:12:00Z,BNB/USDT,303.74,304,303.51,303.51,960.3647,291644.847957,301
1625001060000,2021-06-29T21:11:00Z,BNB/USDT,303.74,303.79,303.3,303.77,671.2329,203804.652281,299
1625001000000,2021-06-29T21:10:00Z,BNB/USDT,303.16,303.68,303.04,303.68,552.6815,167587.954809,330
1625000940000,2021-06-29T21:09:00Z,BNB/USDT,303.46,303.46,303.15,303.15,535.2029,162346.527237,300
1625000880000,2021-06-29T21:08:00Z,BNB/USDT,303.83,303.86,303.43,303.47,377.6741,114670.867228,243
1625000820000,2021-06-29T21:07:00Z,BNB/USDT,303.73,303.91,303.57,303.8,539.7173,163907.44197,257
1625000760000,2021-06-29T21:06:00Z,BNB/USDT,303.7,303.83,303.51,303.79,429.5577,130436.012166,244
1625000700000,2021-06-29T21:05:00Z,BNB/USDT,303.36,304,303.35,303.73,1095.2534,332654.314535,371
1625000640000,2021-06-29T21:04:00Z,BNB/USDT,303.86,303.87,303.29,303.34,510.6545,155012.885756,376
1625000580000,2021-06-29T21:03:00Z,BNB/USDT,303.58,304.17,303.5,303.79,617.6356,187686.904317,831
1625000520000,2021-06-29T21:02:00Z,BNB/USDT,303.2,303.65,303.16,303.59,657.3599,199467.901716,369
1625000460000,2021-06-29T21:01:00Z,BNB/USDT,302.71,303.63,302.67,303.2,2181.1319,661241.775535,710
1625000400000,2021-06-29T21:00:00Z,BNB/USDT,302.62,303,302.52,302.71,1057.3061,320163.307802,534
1625000340000,2021-06-29T20:59:00Z,BNB/USDT,302.51,302.9,302.23,302.62,1594.2397,482127.156989,740
1625000280000,2021-06-29T20:58:00Z,BNB/USDT,302.84,303.4,302.5,302.51,2400.6526,727238.369711,557
1625000220000,2021-06-29T20:57:00Z,BNB/USDT,302.71,302.93,302.38,302.86,1549.7794,468913.551077,617
1625000160000,2021-06-29T20:56:00Z,BNB/USDT,303.09,303.2,302.53,302.64,1507.5023,456435.202334,720
1625000100000,2021-06-29T20:55:00Z,BNB/USDT,303.41,303.72,302.75,303.13,2093.1824,634420.979991,1003
1625000040000,2021-06-29T20:54:00Z,BNB/USDT,303.44,303.97,303.21,303.39,1201.3841,364663.670548,499
1624999980000,2021-06-29T20:53:00Z,BNB/USDT,303.79,303.85,303.03,303.44,1714.3896,520011.315228,897
1624999920000,2021-06-29T20:52:00Z,BNB/USDT,304.36,304.43,303.41,303.79,5975.8763,1815486.571027,1810
1624999860000,2021-06-29T20:51:00Z,BNB/USDT,304.65,304.85,304.31,304.37,1783.1549,543156.837124,472
1624999800000,2021-06-29T20:50:00Z,BNB/USDT,304.84,304.87,304.52,304.64,511.9,155956.895789,340
1624999740000,2021-06-29T20:49:00Z,BNB/USDT,304.91,305.2,304.67,304.82,832.4278,253787.51857,375
1624999680000,2021-06-29T20:48:00Z,BNB/USDT,305.02,305.1,304.68,304.85,856.7456,261188.000471,449
1624999620000,2021-06-29T20:47:00Z,BNB/USDT,305.17,305.42,304.9,305.01,1086.4804,331477.038093,457
1624999560000,2021-06-29T20:46:00Z,BNB/USDT,305.3,305.71,305.16,305.17,792.1211,241900.526342,418
1624999500000,2021-06-29T20:45:00Z,BNB/USDT,305.37,305.46,305.1,305.3,411.187,125509.146044,261
1624999440000,2021-06-29T20:44:00Z,BNB/USDT,305.45,305.53,305.18,305.42,442.1049,134998.912848,241
1624999380000,2021-06-29T20:43:00Z,BNB/USDT,305.36,305.71,305.27,305.47,1223.4786,373738.181317,369
1624999320000,2021-06-29T20:42:00Z,BNB/USDT,305.16,305.37,304.77,305.34,1768.0834,539355.58818,547
1624999260000,2021-06-29T20:41:00Z,BNB/USDT,305.31,305.58,305.08,305.14,1880.2877,574039.808363,516
1624999200000,2021-06-29T20:40:00Z,BNB/USDT,305.64,305.79,305.27,305.31,1503.9483,459301.342496,386
1624999140000,2021-06-29T20:39:00Z,BNB/USDT,305.72,305.98,305.58,305.64,433.4697,132524.829277,303
1624999080000,2021-06-29T20:38:00Z,BNB/USDT,305.59,305.87,305.5,305.74,433.8725,132649.804253,242
1624999020000,2021-06-29T20:37:00Z,BNB/USDT,306.06,306.06,305,305.55,3087.5783,943073.485488,723
1624998960000,2021-06-29T20:36:00Z,BNB/USDT,306.06,306.32,306.02,306.03,428.7857,131291.141741,229
1624998900000,2021-06-29T20:35:00Z,BNB/USDT,305.9,306.07,305.82,306.06,528.5265,161708.487984,247
1624998840000,2021-06-29T20:34:00Z,BNB/USDT,306.08,306.09,305.81,305.89,493.8593,151089.898724,292
1624998780000,2021-06-29T20:33:00Z,BNB/USDT,305.93,306.15,305.83,306.09,636.8812,194913.814906,314
