unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1625002500000,2021-06-29T21:35:00Z,BTC/USDT,36157.25,36163,36154.38,36160.73,18.477908,668162.86965846,571
1625002440000,2021-06-29T21:34:00Z,BTC/USDT,36169.85,36169.85,36149.99,36157.25,23.420613,846816.20409093,582
1625002380000,2021-06-29T21:33:00Z,BTC/USDT,36190,36196.71,36165.85,36169.18,43.726521,1582261.71673887,844
1625002320000,2021-06-29T21:32:00Z,BTC/USDT,36194.99,36208.71,36178.78,36190,21.394195,774357.43479446,555
1625002260000,2021-06-29T21:31:00Z,BTC/USDT,36139.31,36200,36135.03,36194.99,51.248843,1853034.34223965,804
1625002200000,2021-06-29T21:30:00Z,BTC/USDT,36132.73,36160,36126.54,36139.3,26.665945,963907.92348148,761
1625002140000,2021-06-29T21:29:00Z,BTC/USDT,36203.79,36205.3,36120.88,36132.73,40.12692,1451546.78680547,958
1625002080000,2021-06-29T21:28:00Z,BTC/USDT,36208.18,36214.96,36200.02,36205.31,13.756383,498085.80862372,406
1625002020000,2021-06-29T21:27:00Z,BTC/USDT,36218.2,36222.44,36208.18,36208.19,7.825365,283404.82690231,379
1625001960000,2021-06-29T21:26:00Z,BTC/USDT,36184.25,36223.75,36183.57,36218.19,21.692568,785332.30366897,651
1625001900000,2021-06-29T21:25:00Z,BTC/USDT,36211.01,36211.01,36121.05,36184.25,96.16992,3478119.20066011,1534
1625001840000,2021-06-29T21:24:00Z,BTC/USDT,36222.76,36226.99,36209.98,36211,9.074994,328675.37569973,379
1625001780000,2021-06-29T21:23:00Z,BTC/USDT,36230,36230,36207.46,36222.76,14.873337,538701.54683879,570
1625001720000,2021-06-29T21:22:00Z,BTC/USDT,36220.02,36242.5,36206.39,36230.01,25.379184,919328.53020324,613
1625001660000,2021-06-29T21:21:00Z,BTC/USDT,36210,36233.86,36194.42,36223.29,22.064444,799057.97604644,572
1625001600000,2021-06-29T21:20:00Z,BTC/USDT,36179.12,36210,36164.29,36209.99,42.843057,1550171.7665322,866
1625001540000,2021-06-29T21:19:00Z,BTC/USDT,36176.41,36186,36170.4,36179.11,9.851064,356381.10873717,431
1625001480000,2021-06-29T21:18:00Z,BTC/USDT,36190.98,36190.99,36168.01,36176.41,17.025065,615992.33245928,660
1625001420000,2021-06-29T21:17:00Z,BTC/USDT,36182.02,36196.96,36180.44,36190.99,25.379297,918526.48897914,525
1625001360000,2021-06-29T21:16:00Z,BTC/USDT,36193.04,36199,36167.78,36182.01,29.844771,1079917.67191238,853
1625001300000,2021-06-29T21:15:00Z,BTC/USDT,36119.09,36204,36106.46,36193.05,99.281902,3588993.68794939,1495
1625001240000,2021-06-29T21:14:00Z,BTC/USDT,36141.68,36149,36111.43,36119.08,25.104998,906989.1145776,659
1625001180000,2021-06-29T21:13:00Z,BTC/USDT,36178.04,36180.49,36140.05,36140.94,27.040225,977624.43311832,589
1625001120000,2021-06-29T21:12:00Z,BTC/USDT,36174.99,36191.29,36170.74,36178.07,15.099608,546276.21990452,513
1625001060000,2021-06-29T21:11:00Z,BTC/USDT,36204.22,36204.22,36160.05,36175,32.599431,1179384.73841404,650
1625001000000,2021-06-29T21:10:00Z,BTC/USDT,36158.23,36209.94,36150.21,36204.22,21.894854,791917.75151525,692
1625000940000,2021-06-29T21:09:00Z,BTC/USDT,36193.66,36195.09,36156,36158.23,25.186838,910971.6672719,911
1625000880000,2021-06-29T21:08:00Z,BTC/USDT,36240,36241.98,36190.02,36193.67,39.028966,1413673.73793667,584
1625000820000,2021-06-29T21:07:00Z,BTC/USDT,36250,36256.46,36240,36240.01,29.664276,1075141.58246612,502
1625000760000,2021-06-29T21:06:00Z,BTC/USDT,36244.74,36257.52,36240.07,36250,22.411618,812355.39235574,526
1625000700000,2021-06-29T21:05:00Z,BTC/USDT,36227.52,36261.82,36226.11,36244.74,28.497301,1032799.89502943,670
1625000640000,2021-06-29T21:04:00Z,BTC/USDT,36257.67,36261.82,36226.14,36227.52,56.437695,2045521.85044634,800
