unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1625002920000,2021-06-29T21:42:00Z,ETH/USDT,2210.34,2210.35,2207.55,2208.31,311.99856,689388.8109226,823
1625002860000,2021-06-29T21:41:00Z,ETH/USDT,2209.97,2211.58,2208.78,2210.31,439.45939,971309.078513,1411
1625002800000,2021-06-29T21:40:00Z,ETH/USDT,2207,2210,2206.44,2209.97,204.1295,450754.1885299,914
1625002740000,2021-06-29T21:39:00Z,ETH/USDT,2205.15,2207.53,2205.15,2207.25,226.80292,500424.7658887,1024
1625002680000,2021-06-29T21:38:00Z,ETH/USDT,2207.22,2207.71,2204.62,2205.15,219.647,484563.9796647,836
1625002620000,2021-06-29T21:37:00Z,ETH/USDT,2205.66,2209.32,2204.12,2207.38,663.37972,1464246.0904743,1306
1625002560000,2021-06-29T21:36:00Z,ETH/USDT,2200.49,2208.21,2200.31,2205.66,828.78382,1827797.1005636,1618
1625002500000,2021-06-29T21:35:00Z,ETH/USDT,2199.25,2200.59,2199.02,2200.49,170.15818,374253.1914143,1212
1625002440000,2021-06-29T21:34:00Z,ETH/USDT,2199.06,2199.9,2198.89,2199.34,277.01586,609281.1391112,1013
1625002380000,2021-06-29T21:33:00Z,ETH/USDT,2198.49,2199.34,2198.43,2199.05,348.54823,766431.7350499,1497
1625002320000,2021-06-29T21:32:00Z,ETH/USDT,2197.95,2198.61,2197.76,2198.49,124.62051,273946.540643,658
1625002260000,2021-06-29T21:31:00Z,ETH/USDT,2195.92,2197.98,2195.36,2197.97,216.68253,475783.0925769,1137
1625002200000,2021-06-29T21:30:00Z,ETH/USDT,2197.5,2197.74,2195.91,2195.92,155.30858,341197.0444706,468
1625002140000,2021-06-29T21:29:00Z,ETH/USDT,2200.37,2201.07,2197.32,2197.5,375.20434,825334.1942086,1308
1625002080000,2021-06-29T21:28:00Z,ETH/USDT,2200.65,2200.79,2200.15,2200.35,109.08219,240042.7298323,533
1625002020000,2021-06-29T21:27:00Z,ETH/USDT,2200.69,2200.83,2200.14,2200.69,91.45441,201251.4844833,1007
1625001960000,2021-06-29T21:26:00Z,ETH/USDT,2199.95,2202.48,2199.74,2201.07,586.298,1290709.0456533,1071
1625001900000,2021-06-29T21:25:00Z,ETH/USDT,2199.96,2200.24,2195.38,2199.95,499.90847,1098800.3449452,1150
1625001840000,2021-06-29T21:24:00Z,ETH/USDT,2200.32,2200.39,2199.26,2199.96,70.65486,155432.9892138,647
1625001780000,2021-06-29T21:23:00Z,ETH/USDT,2200.39,2200.72,2198.8,2200.31,332.92178,732318.1155195,1400
1625001720000,2021-06-29T21:22:00Z,ETH/USDT,2200.42,2201.03,2200.13,2200.39,191.41785,421227.7797657,594
1625001660000,2021-06-29T21:21:00Z,ETH/USDT,2197.29,2201.44,2196.66,2200.26,531.80969,1169610.2189296,1472
1625001600000,2021-06-29T21:20:00Z,ETH/USDT,2194.76,2197.29,2192.89,2197.28,422.75041,928028.1682707,1076
1625001540000,2021-06-29T21:19:00Z,ETH/USDT,2195.6,2195.97,2194.32,2194.89,108.29825,237706.8947762,914
1625001480000,2021-06-29T21:18:00Z,ETH/USDT,2195.91,2196.15,2193.29,2195.97,461.50349,1012995.8648928,711
