unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT,tradecount
1625001840000,2021-06-29T21:24:00Z,DOT/USDT,16.356,16.36,16.35,16.354,4650.765,76059.223697,130
1625001780000,2021-06-29T21:23:00Z,DOT/USDT,16.353,16.361,16.351,16.354,3163.463,51739.758901,125
1625001720000,2021-06-29T21:22:00Z,DOT/USDT,16.345,16.354,16.344,16.353,3161.639,51687.810288,124
1625001660000,2021-06-29T21:21:00Z,DOT/USDT,16.334,16.349,16.325,16.344,3838.539,62712.802927,107
1625001600000,2021-06-29T21:20:00Z,DOT/USDT,16.305,16.335,16.3,16.335,4397.204,71729.925539,205
1625001540000,2021-06-29T21:19:00Z,DOT/USDT,16.304,16.306,16.302,16.305,1554.696,25349.561464,57
1625001480000,2021-06-29T21:18:00Z,DOT/USDT,16.287,16.322,16.287,16.301,10808.938,176250.169687,239
1625001420000,2021-06-29T21:17:00Z,DOT/USDT,16.281,16.29,16.276,16.285,3740.561,60898.727446,137
1625001360000,2021-06-29T21:16:00Z,DOT/USDT,16.267,16.282,16.265,16.281,3386.185,55111.920142,122
1625001300000,2021-06-29T21:15:00Z,DOT/USDT,16.214,16.267,16.197,16.267,12837.785,208337.160031,301
1625001240000,2021-06-29T21:14:00Z,DOT/USDT,16.261,16.263,16.214,16.214,6236.621,101307.396953,216
1625001180000,2021-06-29T21:13:00Z,DOT/USDT,16.286,16.286,16.25,16.264,9266.644,150736.223628,187
1625001120000,2021-06-29T21:12:00Z,DOT/USDT,16.286,16.295,16.284,16.286,4792.831,78072.597036,94
1625001060000,2021-06-29T21:11:00Z,DOT/USDT,16.286,16.287,16.263,16.286,1557.011,25343.874031,119
1625001000000,2021-06-29T21:10:00Z,DOT/USDT,16.259,16.291,16.259,16.286,4355.863,70872.350539,143
1625000940000,2021-06-29T21:09:00Z,DOT/USDT,16.262,16.266,16.257,16.259,5411.587,87993.404673,132
1625000880000,2021-06-29T21:08:00Z,DOT/USDT,16.281,16.282,16.26,16.262,7047.352,114616.020688,124
1625000820000,2021-06-29T21:07:00Z,DOT/USDT,16.261,16.283,16.261,16.28,4192.964,68226.750322,160
1625000760000,2021-06-29T21:06:00Z,DOT/USDT,16.235,16.265,16.23,16.261,1216.023,19754.996804,94
1625000700000,2021-06-29T21:05:00Z,DOT/USDT,16.223,16.245,16.211,16.235,5308.373,86155.01979,200
1625000640000,2021-06-29T21:04:00Z,DOT/USDT,16.246,16.257,16.22,16.223,7043.161,114410.08627,176
1625000580000,2021-06-29T21:03:00Z,DOT/USDT,16.217,16.261,16.211,16.245,5850.997,95010.996087,338
1625000520000,2021-06-29T21:02:00Z,DOT/USDT,16.188,16.225,16.185,16.217,12679.61,205471.293749,311
1625000460000,2021-06-29T21:01:00Z,DOT/USDT,16.195,16.197,16.17,16.187,15772.014,255278.691501,412
1625000400000,2021-06-29T21:00:00Z,DOT/USDT,16.19,16.234,16.186,16.191,15678.666,254167.545767,751
1625000340000,2021-06-29T20:59:00Z,DOT/USDT,16.212,16.212,16.151,16.191,82904.795,1342205.580931,1351
1625000280000,2021-06-29T20:58:00Z,DOT/USDT,16.244,16.248,16.21,16.213,7711.211,125112.735082,165
1625000220000,2021-06-29T20:57:00Z,DOT/USDT,16.218,16.245,16.21,16.244,12913.256,209504.227769,180
1625000160000,2021-06-29T20:56:00Z,DOT/USDT,16.249,16.259,16.211,16.218,10487.848,170279.529161,284
1625000100000,2021-06-29T20:55:00Z,DOT/USDT,16.263,16.287,16.23,16.245,21436.436,348393.194349,301
1625000040000,2021-06-29T20:54:00Z,DOT/USDT,16.252,16.291,16.24,16.259,13098.326,213047.356213,342
1624999980000,2021-06-29T20:53:00Z,DOT/USDT,16.286,16.286,16.221,16.252,31280.449,507922.767213,634
1624999920000,2021-06-29T20:52:00Z,DOT/USDT,16.275,16.288,16.259,16.287,21423.504,348555.904396,373
1624999860000,2021-06-29T20:51:00Z,DOT/USDT,16.32,16.324,16.271,16.278,40273.366,656339.278484,861
1624999800000,2021-06-29T20:50:00Z,DOT/USDT,16.336,16.336,16.316,16.319,2284.811,37291.655388,187
1624999740000,2021-06-29T20:49:00Z,DOT/USDT,16.35,16.364,16.327,16.328,13882.772,226892.125371,242
1624999680000,2021-06-29T20:48:00Z,DOT/USDT,16.339,16.356,16.323,16.35,6765.141,110516.561442,299
